"I wanted to try out this product for the ""skin/hair care"" side of it, though this product is ""pure"" enough that a little in my soup or skillet creates a nice  nutty aroma and mild taste - really good in this coconut curry soup I eat.That said, I brought the jar into my bathroom to keep it there instead of for cooking (I'll purchase another one for the kitchen). The one negative I have with this product for skin is that it's so thick and hard, I really have to dig in there to get a bit; however, once it's in the palm of my hand, the warmth of my skin melts it quite quickly. It can feel a little heavy and greasy at first, and the scent of coconut makes me think of cooking and not ""beauty product;"" but I mixed it with a little of my regular hand/body lotion and that was the ticket - it smoothed on my skin quite nicely and created a kind of ""sheen"" like those starlets have on their skin as they walk the red carpet with an insipid grin. Mixing it toned down the coconut scent, too.I did smooth it on my face, straight, and it did absorb quickly, and the scent of coconuts wasn't so strong after a few minutes. I have slightly sensitive skin with a little rosacea and the product didn't break me out or irritate my skin.But! The best ""beauty"" use I had from this product that SOLD me, is what it did to my hair! One morning I smoothed the coconut oil on my hair, paying particular attention to the ends. I threw my hair up in a ponytail and left the coconut oil in for at least an hour and a half. I rinsed it out with very warm water and then I shampooed twice. When I stepped out of the shower, I realized I was going to be late for an appointment. I quickly combed my hair, dressed, jumped into my car, and let the opened windows dry my hair, every so often shaking it out and combing through with my fingers -- I couldn't believe it! by time I reached my appt 35 minutes away, my hair was soft and smooth -  even with the wind hitting it - no blow-dryer - no brushing it out - when I returned from the appt - again the windows open blowing my hair all over creation, I brushed my hair and it was so soft and shiny and smooth. That sold me -- if I don't use this product for anything else, it's worth it for how it made my hair look and feel!UPDATE! - I bought another container of this to use in the kitchen - omg! If you saute shrimp in it, you not only have the aroma of coconut, but the shrimp taste incredible! I also fry or scramble eggs with it - mmmmmm - this stuff is amazing.",5
"I ordered this to use as a moisturizer on my face as my skin is very sensitive. I was looking for a natural and inexpensive product and this sounded like a good thing to try. I have been very happy with it. I mix a small bit with some 100% Pure Sweet Almond Oil - 16 oz and put it on my face after showering.It feels wonderful and leaves my skin feeling smooth all day. I use to have very dry skin and would break out with the worst case of acne almost on a weekly occurrence. The almond and coconut oil have been amazing. There are ton of other uses for them as well.I use the coconut oil in the shower sometimes too. It has a wonderfully light coconut smell and leaves my hair conditioned and moisturized without any buildup. It rinses very easily and gives my hair that extra bounce. I will keep looking for more uses for these oils, I could go on forever how great they are but I won't! Instead I'll just say for what I've used them for so far, they've been just great!",5
"I use a lot of extra virgin coconut oil, so much that I usually buy the Nutiva 2-pack of 54-ounce jars. I tried Vitacost's and didn't like it as much as Nutiva, so I've stuck with the Nutiva and really had not planned to switch brands. When I was offered the opportunity to review the Viva Labs product, I agreed but was doubtful I was going to be swayed.Well, let me tell you, when I opened up this coconut oil, I was amazed at the difference. This is an extra virgin coconut oil I could actually imagine myself taking by the tablespoonful, as was recommended by several health books my sister shared with me for people suffering from candida albicans infections. I've used my Nutiva for popping popcorn, cooking, and for skin care, but now I'm thinking I'll just use up the Nutiva for frying and go straight for the Viva Labs version for everything else. There's just no contest.A great use for this coconut oil is as a butter replacement on toast. My Nutiva spreads and melts like one of those margarines that take a long time to melt; the Viva Labs spreads like softened butter and melts like a dream.Price-wise, I've been spending about 47 cents an ounce for the Nutiva when I buy it in the big bulk pack. I was thinking that, at almost 62 cents an ounce for the 15-ounce container, the Viva Labs was more expensivealthough I'd have to say it's worth it. But when I went to cost out some of the other Nutiva products, they ran as much per ounce if not more than the Viva Labs product.I'm impressed enough that I'll be switching.",5
"Viva Labs' Coconut Oil was offered to me free for review and I loved it!  It comes in a plastic jar and can be a liquid or a solid depending on the temperature of your home.  When I received it, it was a liquid, so I put a little in a squirt bottle (for the shower - see below), but the next day it was a solid because of the temperature inside my home - I just ran the bottle under some warm water and it quickly liquefied so I could squeeze it out.After receiving my Viva Labs' Coconut Oil, I ventured out onto the web to see what I could use it for and wow!  There are loads of different ways to use coconut oil:* Cooking* Baking* Skin Care* Hair Care* Aromatherapy* Kitty Cats (put it on their paws to reduce hairballs and promote a shiny coat)* Google it and I am certain you will find a million ways to use it!So, how did I use it?In the kitchen:  I was thinking that it would only be good in dishes that were sweet, but it doesn't have a sweet taste at all.  I actually fried an egg with it and I couldn't tell that I didn't use regular oil.  Coconut oil has a high smoke point, so frying an egg was totally fool-proof and I did notice that it didn't spatter all over the stove like vegetable oil does and my favorite thing about it was that my kitchen didn't smell like fried food for days - which is one of the main reasons I never fry anything!Shower: I always use baby oil (while my skin is wet) as a moisturizer, so instead of my baby oil, I switched it up and started using the coconut oil.  A little bit goes a long way, but it soaks into the skin quite nicely and left me feeling silky smooth with no greasy feeling and it smells delicious!Makeup Remover:  I also use baby oil to remove my waterproof mascara, so I used the coconut oil and it worked like a charm!Exfoliator:  I also used it as an exfoliator on my hands, feet and body - mix it with a little sugar while you are in the shower.  It is an inexpensive way to get rid of that dry and flaky skin and again...  leaves you with silky smooth skin.I saw that you could use it as a deep conditioning treatment on your hair - it works there too - I smoothed A LITTLE on my hair and left it overnight and then washed it out in the morning.  My hair was nice and shiny and didn't look greasy at all.  My hair is super short, but I could imagine that a person who might really notice a difference would be someone with long hair who battles with their hair being dry and or frizzy would really notice a difference.Finally, you can use it as a sexual lubricant - yes, well, you know!  It wouldn't be a ""Bookie Nookie"" review if I didn't bring something naughty into it!  There is ZERO sugar in coconut oil - which is a common concern when using ""food"" products that are sweet in or around those girly parts (sugar in THAT area can cause a yeast infection o_O).  There were no issues with that and definitely reduced the friction and helped things glide quite nicely :-DViva Labs' Coconut Oil is definitely a product I would use again and I would and have recommended it to my friends.  At around 11 bucks for a 16-ounce jar, it's affordable and has a million uses - you have nothing to lose by checking it out. Product provided by Viva Labs for an honest review.",5
"I love this product!  I tried a few different brands of coconut oil, for beauty purposes, and this has, by far, shown the best results.  It is also the best price I have found both online and in stores.",5
I use this in my coffee because of the health benefits associated with mct oil. It also tastes great and is usefull for your hair and skin as well.,5
"I was asked to review this Coconut Oil and as a regular user who keeps a jar at the bedside I can happily give it five stars. I use it for beauty and moisturization more than cooking so my review will focus on that.This oil is light, non sticky, and moisturizes beautifully. The scent is natural coconut. Pleasant and not overwhelming.",5
"So far so good. I bought this because I wanted to start oil pulling. It's been working great. Great taste (while swishing it around and NOT swallowing it). Put some on my arm that was very dry. It helped. Haven't cooked with it yet, but I'm sure it will be great!",5
"This is amazing, especially from this company in particular. So far it's healed my dry/cracked hands in two days, my daughters diaper rash over night (and I've completely replaced all her body lotions with it-she's so much softer and happier), my face is completely blemish/acne free after using it for 4 days, and it soothed and worked as a great antibacterial ointment for my husbands cuts and scrapes from work. Just a little dab goes a super long way and this container will last me for a good month - even when using it every day! I am so satisfied that Viva Labs now has a new customer for life!",5
"I liked this coconut oil very much, but I like ""nutiva"" brand better. It has a fresher aroma. I use this to moisturize my skin.",4
